wavelength,n,k
1.2399e-01,4.6304e-02,1.1555e+00
1.3776e-01,5.7167e-02,1.3775e+00
1.5498e-01,7.2505e-02,1.6366e+00
1.7712e-01,9.4236e-02,1.9519e+00
2.0664e-01,1.2677e-01,2.3563e+00
2.4797e-01,1.8137e-01,2.9029e+00
3.0996e-01,2.8003e-01,3.7081e+00
3.2628e-01,3.1474e-01,3.9165e+00
3.6466e-01,3.9877e-01,4.3957e+00
4.1328e-01,5.2135e-01,5.0008e+00
4.4280e-01,6.0790e-01,5.3676e+00
4.7687e-01,7.2780e-01,5.7781e+00
5.1660e-01,8.7340e-01,6.2418e+00
5.6357e-01,1.0728e+00,6.7839e+00
6.1993e-01,1.3660e+00,7.4052e+00
6.5225e-01,1.5724e+00,7.7354e+00
6.8881e-01,1.8301e+00,8.0601e+00
7.2932e-01,2.1606e+00,8.3565e+00
7.7491e-01,2.6154e+00,8.4914e+00
7.9478e-01,2.7675e+00,8.3866e+00
8.1569e-01,2.7668e+00,8.2573e+00
8.3774e-01,2.6945e+00,8.1878e+00
8.8561e-01,2.2802e+00,8.1134e+00
9.1166e-01,1.9739e+00,8.3058e+00
9.3928e-01,1.6784e+00,8.5970e+00
9.6863e-01,1.4867e+00,9.0655e+00
9.9988e-01,1.4359e+00,9.4939e+00
1.0332e+00,1.3998e+00,9.8914e+00
1.1271e+00,1.3281e+00,1.0969e+01
1.2399e+00,1.3157e+00,1.2245e+01
1.3776e+00,1.3899e+00,1.3784e+01
1.5498e+00,1.5782e+00,1.5656e+01
1.7712e+00,1.9205e+00,1.7991e+01
2.0664e+00,2.4738e+00,2.0982e+01
2.4797e+00,3.3372e+00,2.5004e+01
2.7552e+00,3.9380e+00,2.7580e+01
3.0996e+00,4.7097e+00,3.0737e+01
3.2628e+00,5.0735e+00,3.2183e+01
3.4440e+00,5.4903e+00,3.3814e+01
3.6466e+00,5.9564e+00,3.5608e+01
3.8745e+00,6.4808e+00,3.7595e+01
4.1328e+00,7.0796e+00,3.9826e+01
4.4280e+00,7.7757e+00,4.2367e+01
4.7687e+00,8.5881e+00,4.5257e+01
5.1660e+00,9.5580e+00,4.8593e+01
5.6357e+00,1.0742e+01,5.2518e+01
6.1993e+00,1.2195e+01,5.7156e+01
6.8881e+00,1.4088e+01,6.2841e+01
7.7491e+00,1.6755e+01,6.9857e+01
8.8561e+00,2.0837e+01,7.8274e+01
1.0332e+01,2.6216e+01,8.8197e+01
1.2399e+01,3.3519e+01,1.0128e+02
1.3776e+01,3.8461e+01,1.0896e+02
1.5498e+01,4.3775e+01,1.1839e+02
1.7712e+01,5.0951e+01,1.2949e+02
1.9075e+01,5.4413e+01,1.3609e+02
2.0664e+01,5.8580e+01,1.4423e+02
2.2543e+01,6.3554e+01,1.5345e+02
2.4797e+01,6.8535e+01,1.6481e+02
2.7552e+01,7.5748e+01,1.8178e+02
3.0996e+01,9.1955e+01,1.9999e+02
3.3333e+01,1.0210e+02,2.0810e+02
4.0000e+01,1.2514e+02,2.3019e+02
4.4444e+01,1.4005e+02,2.4343e+02
5.0000e+01,1.5730e+02,2.5826e+02
5.7144e+01,1.7793e+02,2.7534e+02
6.6666e+01,2.0263e+02,2.9542e+02
8.0001e+01,2.3356e+02,3.2108e+02
9.9996e+01,2.7438e+02,3.5435e+02
1.2500e+02,3.1881e+02,3.9171e+02
1.3776e+02,3.3962e+02,4.0892e+02
1.5385e+02,3.6404e+02,4.2962e+02
1.7712e+02,3.9793e+02,4.5850e+02
2.0000e+02,4.2396e+02,4.8370e+02
